Player,Team,Position,Rank,Pos_Rank,CER,Pct_Drafted,Preseason_ADP,All_Drafts_ADP,Last_7_Days
Vinnie Pasquantino,KC , 1B,75,,,100%,85.8,85.8,
Oneil Cruz,PIT , OF,77,,,100%,87.2,87.2,
George Springer,TOR , OF,90,,,100%,88.3,88.3,
CJ Abrams,WSH , SS,82,,,100%,89.1,89.1,
Eugenio Suarez,CIN , 3B,109,,,100%,92.8,92.8,
Shohei Ohtani (Pitcher),LAD , SP,117,,,100%,93.3,93.3,
Michael Harris II,ATL , OF,83,,,100%,95.1,95.1,
Byron Buxton,MIN , OF,88,,,100%,95.2,95.2,
Nolan McLean,NYM , SP,87,,,100%,96.3,96.3,
Seiya Suzuki,CHC , OF,97,,,100%,96.4,96.4,
Salvador Perez,KC ," C,1B",107,,,100%,96.6,96.6,
David Bednar,NYY , RP,102,,,100%,97.7,97.7,
Kevin Gausman,TOR , SP,91,,,100%,98,98,
Nico Hoerner,CHC , 2B,105,,,100%,99.6,99.6,
Jose Altuve,HOU ," 2B,OF",112,,,100%,100.3,100.3,
Spencer Schwellenbach,ATL , SP,320,,,73%,100.3,100.3,
Sonny Gray,BOS , SP,92,,,100%,101.3,101.3,
Pablo Lopez,MIN , SP,362,,,88%,102.3,102.3,
Aroldis Chapman,BOS , RP,121,,,100%,103.6,103.5,
Christian Yelich,MIL , OF,96,,,100%,103.9,103.9,
Devin Williams,NYM , RP,108,,,100%,104.3,104.3,
Teoscar Hernandez,LAD , OF,93,,,100%,104.8,104.8,
Trey Yesavage,TOR , SP,103,,,100%,105,105,
Kyle Stowers,MIA , OF,89,,,100%,105.2,105.2,
Willy Adames,SF , SS,98,,,100%,105.6,105.6,
Will Smith,LAD , C,123,,,100%,107.2,107.2,
Tyler Glasnow,LAD , SP,104,,,100%,107.9,107.9,
Michael Busch,CHC , 1B,95,,,100%,110.4,110.4,
Jacob Misiorowski,MIL , SP,106,,,100%,110.7,110.7,
Josh Hader,HOU , RP,141,,,100%,113.4,113.4,
Luis Castillo,SEA , SP,110,,,100%,119.3,119.3,
Ozzie Albies,ATL , 2B,119,,,100%,120.8,120.8,
Trevor Story,BOS , SS,94,,,100%,121.1,121.1,
Raisel Iglesias,ATL , RP,129,,,100%,123.6,123.6,
Luke Keaschall,MIN , 2B,114,,,100%,123.9,123.9,
Eury Perez,MIA , SP,113,,,100%,124,124,
Spencer Strider,ATL , SP,153,,,100%,124.7,124.7,
Agustin Ramirez,MIA , C,118,,,100%,125.3,125.4,
Yandy Diaz,TB , 1B,99,,,100%,127.2,127.2,
Cam Schlittler,NYY , SP,130,,,100%,127.2,127.2,
Carlos Estevez,KC , RP,148,,,100%,128.5,128.5,
Willson Contreras,BOS , 1B,100,,,100%,129.3,129.3,
Taylor Ward,BAL , OF,127,,,100%,131.8,131.8,
Chase Burns,CIN ," SP,RP",111,,,100%,132.2,132.2,
Jo Adell,LAA , OF,116,,,100%,132.5,132.5,
Jakob Marsee,MIA , OF,115,,,100%,133.4,133.4,
Jordan Westburg,BAL ," 2B,3B",184,,,99%,133.9,133.8,
Brandon Woodruff,MIL , SP,124,,,100%,134.5,134.5,
Ryan Helsley,BAL , RP,154,,,100%,137.8,137.8,
Michael King,SD , SP,135,,,100%,138.4,138.4,
Nathan Eovaldi,TEX , SP,134,,,100%,138.5,138.5,
Nick Lodolo,CIN , SP,128,,,100%,139.7,139.7,
Matt Chapman,SF , 3B,161,,,100%,139.8,139.8,
Ian Happ,CHC , OF,132,,,100%,142.2,142.2,
Zack Wheeler,PHI , SP,151,,,100%,142.2,142.2,
Drake Baldwin,ATL , C,152,,,100%,145.6,145.5,
Jeff Hoffman,TOR , RP,172,,,100%,147.7,147.7,
Bubba Chandler,PIT , SP,136,,,100%,149.3,149.3,
Trevor Rogers,BAL , SP,137,,,100%,149.4,149.4,
Lawrence Butler,ATH , OF,122,,,100%,149.8,149.9,
Andy Pages,LAD , OF,125,,,100%,151.9,152,
Noelvi Marte,CIN ," 3B,OF",157,,,100%,152.2,152.2,
MacKenzie Gore,TEX , SP,146,,,100%,152.7,152.7,
Luis Robert Jr.,NYM , OF,126,,,100%,154.5,154.6,
Robbie Ray,SF , SP,160,,,100%,154.6,154.6,
Jacob Wilson,ATH , SS,120,,,100%,154.7,154.7,
Munetaka Murakami,CWS ," 1B,3B",235,,,82%,155.3,155.3,
Ryan Pepiot,TB , SP,147,,,100%,155.5,155.5,
Brandon Nimmo,TEX , OF,133,,,100%,155.7,155.7,
Ranger Suarez,BOS , SP,159,,,100%,155.9,155.9,
Jackson Holliday,BAL ," 2B,SS",263,,,84%,156.3,156.3,
Colson Montgomery,CWS ," 3B,SS",165,,,100%,157.8,157.8,
Gavin Williams,CLE , SP,139,,,100%,158,158,
Emmet Sheehan,LAD , SP,140,,,100%,158,158,
Tanner Bibee,CLE , SP,149,,,100%,158.5,158.5,
Dansby Swanson,CHC , SS,131,,,100%,161.7,161.7,
Kenley Jansen,DET , RP,173,,,100%,161.7,161.7,
Ceddanne Rafaela,BOS ," 2B,OF",163,,,100%,162.1,162.1,
Trevor Megill,MIL , RP,186,,,100%,163,162.9,
Xavier Edwards,MIA ," 2B,SS",138,,,100%,162.9,163,
Emilio Pagan,CIN , RP,178,,,100%,163.1,163,
Shane Bieber,TOR , SP,196,,,97%,163,163,
Mike Trout,LAA , OF,224,,,91%,163.5,163.5,
Daniel Palencia,CHC , RP,174,,,100%,164.1,164.1,
Pete Fairbanks,MIA , RP,182,,,100%,164.3,164.2,
Sandy Alcantara,MIA , SP,145,,,100%,165.3,165.3,
Steven Kwan,CLE , OF,143,,,100%,167.2,167.2,
Ivan Herrera,STL , C,168,,,99%,172.1,172.1,
Kazuma Okamoto,TOR ," 1B,3B",217,,,83%,172.6,172.6,
Jack Flaherty,DET , SP,169,,,100%,173.4,173.4,
Adley Rutschman,BAL , C,236,,,89%,175.2,175.3,
Alec Burleson,STL ," 1B,OF",144,,,100%,176.4,176.4,
Christian Walker,HOU , 1B,158,,,99%,177.5,177.5,
Andrew Abbott,CIN , SP,164,,,100%,180.2,180.2,
Shota Imanaga,CHC , SP,179,,,99%,180.2,180.2,
Bryan Reynolds,PIT , OF,162,,,99%,180.4,180.4,
Dennis Santana,PIT , RP,197,,,97%,181.2,181.1,
Cade Horton,CHC , SP,167,,,99%,181.3,181.3,
Jurickson Profar,ATL , OF,156,,,99%,183.3,183.3,
Brenton Doyle,COL , OF,142,,,99%,183.4,183.4,
Marcus Semien,NYM , 2B,185,,,97%,183.4,183.4,
Ernie Clement,TOR ," 1B,2B,3B,SS",313,,,54%,183.4,183.5,
Gerrit Cole,NYY , SP,272,,,62%,184.2,184.2,
Robert Suarez,ATL , RP,260,,,58%,185.2,185.2,
Gleyber Torres,DET , 2B,201,,,88%,185.4,185.5,
Yainer Diaz,HOU , C,191,,,94%,185.6,185.6,
Max Muncy,LAD , 3B,243,,,30%,187,186.9,
Spencer Torkelson,DET , 1B,190,,,98%,187.3,187.3,
Brendan Donovan,SEA ," 2B,SS,OF",221,,,84%,187.4,187.4,
Alejandro Kirk,TOR , C,248,,,42%,187.4,187.5,
Chandler Simpson,TB , OF,177,,,93%,187.9,187.9,
Ryan McMahon,NYY , 3B,549,,,3%,187.8,188.3,
Addison Barger,TOR ," 3B,OF",242,,,40%,188.7,188.7,
Ryan Walker,SF , RP,206,,,88%,189.1,189.1,
Carlos Rodon,NYY , SP,189,,,96%,189.3,189.3,
Zac Gallen,AZ , SP,202,,,96%,189.6,189.6,
Reid Detmers,LAA ," SP,RP",305,,,17%,190.1,190.1,
Paul Goldschmidt,NYY , 1B,382,,,3%,190.4,190.6,
Andres Gimenez,TOR ," 2B,SS",311,,,5%,190.3,190.7,
Matt Strahm,KC , RP,352,,,2%,190.9,190.9,
Carson Kelly,CHC , C,599,,,2%,190.9,190.9,
J.T. Realmuto,PHI , C,317,,,21%,191,191.1,
Brett Baty,NYM ," 2B,3B",326,,,3%,190.8,191.1,
Tyler Rogers,TOR , RP,350,,,5%,190.9,191.3,
Drew Rasmussen,TB , SP,170,,,98%,191.4,191.4,
Aaron Nola,PHI , SP,200,,,95%,191.5,191.5,
Dillon Dingler,DET , C,234,,,12%,191.6,191.6,
Luke Weaver,NYM , RP,351,,,4%,191.4,191.6,
Alex Vesia,LAD , RP,348,,,3%,191.7,191.7,
Ryne Nelson,AZ ," SP,RP",208,,,81%,192,192,
Jorge Polanco,NYM ," 2B,3B",246,,,46%,191.9,192,
Kyle Finnegan,DET , RP,347,,,6%,192.5,192.5,
Garrett Whitlock,BOS , RP,349,,,4%,192.6,192.6,
Javier Baez,DET ," 2B,3B,SS,OF",543,,,7%,192.6,192.6,
Roki Sasaki,LAD , SP,245,,,51%,192.7,192.8,
J.P. Crawford,SEA , SS,330,,,3%,192.9,192.8,
Giancarlo Stanton,NYY , OF,334,,,24%,192.7,192.8,
Isaac Paredes,HOU , 3B,187,,,89%,192.9,192.9,
Tyler Holton,DET , RP,353,,,2%,193.1,193.1,
Zach McKinstry,DET ," 3B,SS,OF",403,,,5%,193.1,193.1,
Adrian Morejon,SD , RP,341,,,4%,193.3,193.2,
Will Vest,DET , RP,346,,,4%,193.4,193.2,
Nolan Arenado,AZ , 3B,522,,,9%,193.2,193.2,
Kirby Yates,LAA , RP,399,,,2%,193.5,193.3,
JJ Wetherholt,STL ," 2B,3B,SS",181,,,57%,193.4,193.4,
Luis Arraez,SF ," 1B,2B",203,,,85%,193.5,193.5,
Anthony Volpe,NYY , SS,323,,,3%,193.5,193.6,
Tommy Edman,LAD ," 2B,3B,OF",296,,,11%,193.7,193.7,
Austin Wells,NYY , C,482,,,10%,193.5,193.7,
Ezequiel Tovar,COL , SS,155,,,97%,193.8,193.9,
Matt Shaw,CHC , 3B,253,,,29%,193.9,193.9,
Logan O'Hoppe,LAA , C,1315,,,4%,193.9,193.9,
Quinn Priester,MIL ," SP,RP",213,,,78%,194,194,
Josh Jung,TEX , 3B,294,,,3%,194.6,194.6,
Chase DeLauter,CLE , OF,315,,,2%,194.6,194.6,
Marcelo Mayer,BOS ," 2B,3B",1608,,,3%,194.7,194.7,
Jose Caballero,NYY ," 2B,3B,SS,OF",204,,,73%,194.8,194.8,
Tyler Stephenson,CIN , C,636,,,2%,194.8,194.8,
Brandon Lowe,PIT , 2B,205,,,76%,194.9,194.9,
Jonathan Aranda,TB , 1B,150,,,89%,195,195,
Colt Keith,DET ," 1B,2B,3B",286,,,10%,195,195,
Samuel Basallo,BAL , C,257,,,14%,195.1,195.1,
Ryan O'Hearn,PIT ," 1B,OF",283,,,6%,195.2,195.1,
Bryce Eldridge,SF , 1B,340,,,2%,195.3,195.3,
Matt McLain,CIN , 2B,254,,,11%,195.5,195.5,
Jonathan India,KC ," 2B,3B,OF",611,,,5%,195.5,195.5,
Luis Garcia Jr.,WSH , 2B,166,,,96%,195.9,195.9,
Francisco Alvarez,NYM , C,267,,,10%,195.9,195.9,
Kyle Teel,CWS , C,229,,,17%,196.3,196.3,
Spencer Steer,CIN ," 1B,OF",277,,,20%,196.3,196.3,
Zach Eflin,BAL , SP,280,,,2%,196.3,196.3,
Matthew Boyd,CHC , SP,180,,,95%,196.6,196.5,
Alec Bohm,PHI ," 1B,3B",216,,,62%,196.5,196.5,
Gabriel Moreno,AZ , C,250,,,5%,196.7,196.6,
Jung Hoo Lee,SF , OF,301,,,5%,196.7,196.7,
Brooks Lee,MIN ," 2B,3B,SS",322,,,3%,196.7,196.7,
Justin Verlander,DET , SP,1337,,,4%,196.7,196.7,
Jeff McNeil,ATH ," 2B,OF",285,,,2%,196.9,196.9,
Carter Jensen,KC , C,291,,,5%,197,196.9,
Abner Uribe,MIL , RP,218,,,53%,197,197,
Sean Manaea,NYM ," SP,RP",259,,,28%,197.1,197.1,
Victor Scott II,STL , OF,1186,,,2%,197.1,197.1,
Carlos Correa,HOU ," 3B,SS",237,,,34%,197.3,197.3,
Ha-Seong Kim,ATL ," 2B,SS",1448,,,2%,197.4,197.4,
Tatsuya Imai,HOU , SP,199,,,85%,197.8,197.8,
Braxton Ashcraft,PIT ," SP,RP",278,,,14%,197.9,197.9,
Bryson Stott,PHI ," 2B,SS",225,,,59%,198.3,198.3,
Bryan Abreu,HOU , RP,238,,,25%,198.3,198.3,
Luis Gil,NYY , SP,453,,,6%,198.9,198.9,
Brayan Bello,BOS , SP,304,,,9%,199.1,199.1,
Colton Cowser,BAL , OF,281,,,3%,199.4,199.4,
Caleb Durbin,BOS ," 2B,3B",303,,,10%,199.5,199.5,
Seranthony Dominguez,CWS , RP,327,,,35%,199.7,199.7,
Jeffrey Springs,ATH , SP,441,,,3%,200.4,200.4,
Casey Mize,DET , SP,273,,,11%,200.7,200.7,
Josh Smith,TEX ," 1B,3B,SS,OF",421,,,4%,200.9,200.9,
Nick Castellanos,SD , OF,306,,,6%,200.9,201,
Griffin Jax,TB , RP,302,,,21%,201.1,201.1,
David Peterson,NYM , SP,247,,,6%,201.2,201.2,
Jake Cronenworth,SD ," 1B,2B,SS",300,,,15%,201.6,201.6,
Jameson Taillon,CHC , SP,307,,,5%,201.6,201.6,
Daulton Varsho,TOR , OF,226,,,31%,201.8,201.8,
Jac Caglianone,KC ," 1B,OF",289,,,14%,201.8,201.8,
Adolis Garcia,PHI , OF,227,,,42%,202.1,202.1,
Willi Castro,COL ," 2B,3B,OF",332,,,7%,202.3,202.2,
Jake Burger,TEX , 1B,292,,,4%,202.4,202.4,
Dylan Crews,WSH , OF,175,,,68%,202.7,202.7,
Nolan Schanuel,LAA , 1B,231,,,3%,202.7,202.7,
Ryan Jeffers,MIN , C,550,,,4%,202.7,202.7,
Merrill Kelly,AZ , SP,195,,,87%,202.9,202.9,
Clay Holmes,NYM , SP,290,,,10%,203.1,203.1,
Jonah Tong,NYM , SP,1324,,,2%,202.9,203.2,
Konnor Griffin,PIT ," SS,OF",212,,,62%,203.3,203.3,
Shane McClanahan,TB , SP,176,,,91%,203.5,203.5,
Marcell Ozuna,PIT , Util,266,,,10%,203.5,203.5,
Sal Frelick,MIL , OF,240,,,5%,203.6,203.6,
Cody Ponce,TOR , SP,668,,,6%,203.6,203.6,
Robert Garcia,TEX , RP,397,,,3%,203.7,203.7,
Edward Cabrera,CHC , SP,192,,,88%,203.9,203.9,
Mark Vientos,NYM , 3B,264,,,6%,203.8,204,
Will Warren,NYY , SP,308,,,3%,204,204,
Brandon Pfaadt,AZ , SP,337,,,3%,204,204,
Chris Bassitt,BAL , SP,298,,,12%,204.1,204.2,
Hurston Waldrep,ATL , SP,335,,,4%,204.5,204.5,
Trent Grisham,NYY , OF,209,,,49%,204.7,204.8,
Brady Singer,CIN , SP,279,,,14%,204.8,204.8,
Grayson Rodriguez,LAA , SP,287,,,4%,204.8,204.8,
Kerry Carpenter,DET , OF,183,,,84%,205.1,205.1,
Kris Bubic,KC , SP,232,,,20%,205.2,205.2,
Edwin Uceta,TB , RP,262,,,5%,205.3,205.2,
Michael Wacha,KC , SP,241,,,8%,205.3,205.3,
Masyn Winn,STL , SS,171,,,86%,205.4,205.5,
Mitch Keller,PIT , SP,268,,,8%,205.5,205.5,
Andrew Painter,PHI , SP,310,,,4%,205.6,205.6,
Joey Cantillo,CLE ," SP,RP",269,,,7%,206,206,
Heliot Ramos,SF , OF,188,,,84%,206.1,206.1,
Kodai Senga,NYM , SP,297,,,14%,206.1,206.1,
Xander Bogaerts,SD , SS,252,,,14%,206.3,206.3,
Mike Burrows,HOU ," SP,RP",314,,,4%,206.3,206.3,
Parker Messick,CLE , SP,333,,,2%,206.5,206.5,
Royce Lewis,MIN , 3B,215,,,22%,206.8,206.7,
TJ Friedl,CIN , OF,233,,,8%,206.8,206.8,
Ryan Weathers,NYY , SP,312,,,2%,207.2,207.3,
Miguel Vargas,CWS ," 1B,3B",329,,,12%,207.5,207.5,
Justin Steele,CHC , SP,275,,,4%,207.6,207.6,
Noah Cameron,KC , SP,230,,,9%,207.9,207.8,
Jack Leiter,TEX , SP,299,,,8%,208,208,
Sal Stewart,CIN , 1B,220,,,28%,208.2,208.2,
Riley O'Brien,STL , RP,324,,,3%,208.3,208.3,
Yusei Kikuchi,LAA , SP,270,,,19%,208.5,208.5,
Corbin Burnes,AZ , SP,363,,,8%,208.7,208.7,
Kevin McGonigle,DET , SS,239,,,10%,209.1,209,
Joe Musgrove,SD , SP,223,,,10%,208.9,209.1,
Reynaldo Lopez,ATL , SP,256,,,3%,209.1,209.1,
Anthony Santander,TOR , OF,274,,,16%,209.6,209.5,
Wilyer Abreu,BOS , OF,193,,,63%,210.7,210.7,
Shane Smith,CWS , SP,251,,,5%,210.9,210.9,
Shane Baz,BAL , SP,207,,,65%,211.1,211.1,
Jose Soriano,LAA , SP,249,,,6%,211.4,211.3,
Otto Lopez,MIA ," 2B,SS",194,,,73%,211.7,211.7,
Connelly Early,BOS , SP,222,,,29%,212.9,212.9,
Bryce Miller,SEA , SP,214,,,43%,213.3,213.3,
Kyle Manzardo,CLE , 1B,228,,,16%,214.4,214.4,
Jasson Dominguez,NYY , OF,293,,,18%,214.3,214.4,
Daylen Lile,WSH , OF,198,,,45%,214.9,214.9,
Ramon Laureano,SD , OF,219,,,14%,215.4,215.3,
Andrew Vaughn,MIL , 1B,,,,,,,
Mickey Moniak,COL , OF,,,,,,,
Spencer Horwitz,PIT , 1B,,,,,,,
Jordan Beck,COL , OF,,,,,,,
Jake Mangum,PIT , OF,,,,,,,
Cedric Mullins,TB , OF,,,,,,,
Justin Crawford,PHI , OF,,,,,,,
Josh Lowe,LAA , OF,,,,,,,
Brandon Marsh,PHI , OF,,,,,,,
Josh Bell,MIN , 1B,,,,,,,
Dominic Canzone,SEA , OF,,,,,,,
Carson Benge,NYM, OF,,,,,,,
Evan Carter,TEX , OF,,,,,,,
Cam Smith,HOU , OF,,,,,,,
Chase Meidroth,CHW," 2B,3B,SS",,,,,,,
Matt Wallner,MIN, OF,,,,,,,
Lenyn Sosa,CHW," 1B,2B",,,,,,,
Logan Henderson,MIL , SP,,,,,,,
Bailey Ober,MIN, SP,,,,,,,
Chad Patrick,MIL , SP,,,,,,,
Jacob Lopez,ATH , SP,,,,,,,
Seth Lugo,KC , SP,,,,,,,
Grant Taylor,CHW, RP,,,,,,,
Ian Seymour,TB ," SP,RP",,,,,,,
Cade Cavalli,WSN, SP,,,,,,,
Jason Adam,SD, RP,,,,,,,
Shawn Armstrong,CLE , RP,,,,,,,
Matt Svanson,STL , RP,,,,,,,
Garrett Cleavinger,TB , RP,,,,,,,
Eduard Bazardo,SEA , RP,,,,,,,
Brad Keller,CHC , RP,,,,,,,
Lucas Erceg,KC , RP,,,,,,,
Gabe Speier,SEA , RP,,,,,,,
Aaron Ashby,MIL , RP,,,,,,,
Jared Koenig,MIL , RP,,,,,,,
Jeremiah Estrada,SD, RP,,,,,,,
JoJo Romero,STL , RP,,,,,,,
Tanner Scott,LAD , RP,,,,,,,
Zebby Matthews,MIN, SP,,,,,,,
Johan Oviedo,BOS , SP,,,,,,,
Hunter Gaddis,CLE , RP,,,,,,,
Robert Stephenson,LAA , RP,,,,,,,
Camilo Doval,NYY , RP,,,,,,,
Fernando Cruz,NYY , RP,,,,,,,
Matt Brash,SEA , RP,,,,,,,
Jose A. Ferrer,SEA , RP,,,,,,,
Michael Soroka,ARI, SP,,,,,,,
Phil Maton,CHC, RP,,,,,,,
Tony Santillan,CIN , RP,,,,,,,
Zac Veen,COL , OF,,,,,,,
Max Meyer,MIA , SP,,,,,,,
Jordan Walker,STL , OF,,,,,,,
