Team,Name
SEA,J.P. Crawford
SEA,Dominic Canzone
HOU,Alex Bregman
HOU,Jose Altuve
HOU,Isaac Paredes
HOU,Yordan Alvarez
HOU,Yainer Diaz
HOU,Jeremy Pena
HOU,Christian Walker
TEX,Marcus Semien
TEX,Corey Seager
TEX,Wyatt Langford
TEX,Adolis Garcia
TEX,Josh Jung
TEX,Jake Burger
TEX,Evan Carter
TEX,Joc Pederson
ATH,Lawrence Butler
ATH,Brent Rooker
ATH,JJ Bleday
ATH,Shea Langeliers
ATH,Tyler Soderstrom
ATH,Zack Gelof
ATH,Jacob Wilson
SFG,Jung Hoo Lee
SFG,Willy Adames
SFG,Matt Chapman
SFG,Tyler Fitzgerald
SFG,Heliot Ramos
COL,Brendan Rodgers
COL,Brenton Doyle
COL,Ezequiel Tovar
COL,Nolan Jones
COL,Ryan McMahon
COL,Michael Toglia
SDP,Luis Arraez
SDP,Fernando Tatis Jr.
SDP,Jackson Merrill
SDP,Manny Machado
SDP,Jake Cronenworth
SDP,Xander Bogaerts
SDP,Luis Campusano
ARI,Corbin Carroll
ARI,Ketel Marte
ARI,Jake McCarthy
ARI,Lourdes Gurriel Jr.
ARI,Eugenio Suarez
ARI,Pavin Smith
ARI,Gabriel Moreno
ARI,Alek Thomas
ARI,Jordan Lawlar
ARI,Josh Naylor
LAD,Teoscar Hernandez
LAD,Shohei Ohtani
LAD,Mookie Betts
LAD,Freddie Freeman
LAD,Will Smith
LAD,Max Muncy
LAD,Tommy Edman
LAD,Michael Conforto
LAD,Andy Pages
LAD,Hyeseong Kim
STL,Masyn Winn
STL,Alec Burleson
STL,Willson Contreras
STL,Nolan Arenado
STL,Brendan Donovan
STL,Lars Nootbaar
STL,Jordan Walker
STL,Ivan Herrera
STL,Nolan Gorman
CHC,Ian Happ
CHC,Kyle Tucker
CHC,Seiya Suzuki
CHC,Michael Busch
CHC,Dansby Swanson
CHC,Nico Hoerner
CHC,Matt Shaw
PIT,Bryan Reynolds
PIT,Oneil Cruz
PIT,Joey Bart
PIT,Spencer Horwitz
PIT,Endy Rodriguez
PIT,Ke'Bryan Hayes
CIN,TJ Friedl
CIN,Elly De La Cruz
CIN,Matt McLain
CIN,Tyler Stephenson
CIN,Spencer Steer
CIN,Jeimer Candelario
CIN,Christian Encarnacion-Strand
CIN,Noelvi Marte
CIN,Gavin Lux
MIL,Jackson Chourio
MIL,Christian Yelich
MIL,William Contreras
MIL,Rhys Hoskins
MIL,Joey Ortiz
MIL,Garrett Mitchell
MIL,Brice Turang
NYM,Pete Alonso
NYM,Francisco Lindor
NYM,Juan Soto
NYM,Mark Vientos
NYM,Brandon Nimmo
NYM,Jesse Winker
NYM,Jeff McNeil
NYM,Francisco Alvarez
ATL,Michael Harris II
ATL,Jurickson Profar
ATL,Ozzie Albies
ATL,Austin Riley
ATL,Matt Olson
ATL,Marcell Ozuna
ATL,Sean Murphy
ATL,Ronald Acuna Jr.
ATL,Drake Baldwin
WSN,CJ Abrams
WSN,James Wood
WSN,Luis Garcia Jr.
WSN,Dylan Crews
WSN,Nathaniel Lowe
WSN,Josh Bell
WSN,Keibert Ruiz
PHI,Kyle Schwarber
PHI,Trea Turner
PHI,Bryce Harper
PHI,Nick Castellanos
PHI,Alec Bohm
PHI,Bryson Stott
PHI,J.T. Realmuto
PHI,Brandon Marsh
PHI,Max Kepler
MIA,Xavier Edwards
MIA,Connor Norby
MIA,Jesus Sanchez
MIA,Deyvison De Los Santos
